country,database,country_name,region,pop
SaintKittsandNevis,JHU,Saint Kitts and Nevis,NA,52441
SanMarino,JHU,San Marino,NA,33785
SaudiArabia,JHU,Saudi Arabia,NA,33699947
Senegal,JHU,Senegal,NA,15854360
Serbia,JHU,Serbia,NA,6982604
Seychelles,JHU,Seychelles,NA,96762
Singapore,JHU,Singapore,NA,5638676
Slovakia,JHU,Slovakia,NA,5446771
Slovenia,JHU,Slovenia,NA,2073894
Somalia,JHU,Somalia,NA,15008154
SouthAfrica,JHU,South Africa,NA,57779622
Spain,JHU,Spain,NA,46796540
SriLanka,JHU,Sri Lanka,NA,21670000
Sudan,JHU,Sudan,NA,41801533
SouthSudan,JHU,South Sudan,NA,10975920
Suriname,JHU,Suriname,NA,575991
Sweden,JHU,Sweden,NA,10175214
Switzerland,JHU,Switzerland,NA,8513227
Syria,JHU,Syria,NA,16906283
SierraLeone,JHU,Sierra Leone,NA,7650154
SaoTomeandPrincipe,JHU,Sao Tome and Principe,NA,211028
Taiwan*,JHU,Taiwan,NA,0
Tanzania,JHU,Tanzania,NA,56318348
Timor-Leste,JHU,Timor-Leste,NA,1267972
Thailand,JHU,Thailand,NA,69428524
Togo,JHU,Togo,NA,7889094
TrinidadandTobago,JHU,Trinidad and Tobago,NA,1389858
Tunisia,JHU,Tunisia,NA,11565204
Turkey,JHU,Turkey,NA,82319724
Uganda,JHU,Uganda,NA,42723139
Ukraine,JHU,Ukraine,NA,44622516
UnitedArabEmirates,JHU,United Arab Emirates,NA,9630959
UnitedKingdom,JHU,United Kingdom,NA,66460344
Uruguay,JHU,Uruguay,NA,3449299
Uzbekistan,JHU,Uzbekistan,NA,32955400
Venezuela,JHU,Venezuela,NA,28870195
Vietnam,JHU,Vietnam,NA,95540395
WestBankandGaza,JHU,West Bank and Gaza,NA,4569087
WesternSahara,JHU,Western Sahara,NA,0
Yemen,JHU,Yemen,NA,28498687
Zambia,JHU,Zambia,NA,17351822
Zimbabwe,JHU,Zimbabwe,NA,14439018
Comoros,NYT,Comoros,NA,832322
Lesotho,NYT,Lesotho,NA,2108132
NorthernMarianaIslands,NYT,Northern Mariana Islands,NA,0
Tajikistan,NYT,Tajikistan,NA,9100837
