country,database,country_name,region,pop
PapuaNewGuinea,JHU,Papua New Guinea,Main territory,8606316
Paraguay,JHU,Paraguay,Main territory,6956071
Peru,JHU,Peru,Main territory,31989256
Philippines,JHU,Philippines,Main territory,106651922
Poland,JHU,Poland,Main territory,37974750
Portugal,JHU,Portugal,Main territory,10283822
Qatar,JHU,Qatar,Main territory,2781677
Romania,JHU,Romania,Main territory,19466145
Rwanda,JHU,Rwanda,Main territory,12301939
Russia,JHU,Russia,Main territory,144478050
SaintLucia,JHU,Saint Lucia,Main territory,181889
SaintVincentandtheGrenadines,JHU,Saint Vincent and the Grenadines,Main territory,110210
SaintKittsandNevis,JHU,Saint Kitts and Nevis,Main territory,52441
SanMarino,JHU,San Marino,Main territory,33785
SaudiArabia,JHU,Saudi Arabia,Main territory,33699947
Senegal,JHU,Senegal,Main territory,15854360
Serbia,JHU,Serbia,Main territory,6982604
Seychelles,JHU,Seychelles,Main territory,96762
Singapore,JHU,Singapore,Main territory,5638676
Slovakia,JHU,Slovakia,Main territory,5446771
Slovenia,JHU,Slovenia,Main territory,2073894
Somalia,JHU,Somalia,Main territory,15008154
SouthAfrica,JHU,South Africa,Main territory,57779622
Spain,JHU,Spain,Main territory,46796540
SriLanka,JHU,Sri Lanka,Main territory,21670000
Sudan,JHU,Sudan,Main territory,41801533
SouthSudan,JHU,South Sudan,Main territory,10975920
Suriname,JHU,Suriname,Main territory,575991
Sweden,JHU,Sweden,Main territory,10175214
Switzerland,JHU,Switzerland,Main territory,8513227
Syria,JHU,Syria,Main territory,16906283
SierraLeone,JHU,Sierra Leone,Main territory,7650154
SaoTomeandPrincipe,JHU,Sao Tome and Principe,Main territory,211028
Taiwan*,JHU,Taiwan,Main territory,23816775
Tanzania,JHU,Tanzania,Main territory,56318348
Timor-Leste,JHU,Timor-Leste,Main territory,1267972
Thailand,JHU,Thailand,Main territory,69428524
Togo,JHU,Togo,Main territory,7889094
TrinidadandTobago,JHU,Trinidad and Tobago,Main territory,1389858
Tunisia,JHU,Tunisia,Main territory,11565204
Turkey,JHU,Turkey,Main territory,82319724
Uganda,JHU,Uganda,Main territory,42723139
Ukraine,JHU,Ukraine,Main territory,44622516
UnitedArabEmirates,JHU,United Arab Emirates,Main territory,9630959
UnitedKingdom,JHU,United Kingdom,Main territory,66460344
Uruguay,JHU,Uruguay,Main territory,3449299
Uzbekistan,JHU,Uzbekistan,Main territory,32955400
Venezuela,JHU,Venezuela,Main territory,28870195
Vietnam,JHU,Vietnam,Main territory,95540395
WestBankandGaza,JHU,West Bank and Gaza,Main territory,4569087
WesternSahara,JHU,Western Sahara,Main territory,59339
Yemen,JHU,Yemen,Main territory,28498687
Zambia,JHU,Zambia,Main territory,17351822
Zimbabwe,JHU,Zimbabwe,Main territory,14439018
Comoros,NYT,Comoros,Main territory,832322
Lesotho,NYT,Lesotho,Main territory,2108132
NorthernMarianaIslands,NYT,Northern Mariana Islands,Main territory,5694
Tajikistan,NYT,Tajikistan,Main territory,9100837
AustralianCapitalTerritory_Australia,JHU,Australia,Australian Capital Territory,418440
Externalterritories_Australia,JHU,Australia,External territories,4307
JervisBayTerritory_Australia,JHU,Australia,Jervis Bay Territory,391
NewSouthWales_Australia,JHU,Australia,New South Wales,8092000
NorthernTerritory_Australia,JHU,Australia,Northern Territory,249220
Queensland_Australia,JHU,Australia,Queensland,5160023
SouthAustralia_Australia,JHU,Australia,South Australia,1767247
Tasmania_Australia,JHU,Australia,Tasmania,524170
Victoria_Australia,JHU,Australia,Victoria,385999
WesternAustralia_Australia,JHU,Australia,Western Australia,2760000
Alberta_Canada,JHU,Canada,Alberta,4421876
BritishColumbia_Canada,JHU,Canada,British Columbia,37742154
Manitoba_Canada,JHU,Canada,Manitoba,1380000
NewBrunswick_Canada,JHU,Canada,New Brunswick,781476
NewfoundlandandLabrador_Canada,JHU,Canada,Newfoundland and Labrador,522103
NorthwestTerritories_Canada,JHU,Canada,Northwest Territories,45161
NovaScotia_Canada,JHU,Canada,Nova Scotia,979351
Ontario_Canada,JHU,Canada,Ontario,14745040
PrinceEdwardIsland_Canada,JHU,Canada,Prince Edward Island,159625
Quebec_Canada,JHU,Canada,Quebec,8180000
Saskatchewan_Canada,JHU,Canada,Saskatchewan,1181987
Yukon_Canada,JHU,Canada,Yukon,42052
Anhui_China,JHU,China,Anhui,63660000
Beijing_China,JHU,China,Beijing,21540000
Chongqing_China,JHU,China,Chongqing,31240000
Fujian_China,JHU,China,Fujian,39730000
Gansu_China,JHU,China,Gansu,26470000
Guangdong_China,JHU,China,Guangdong,115210000
Guangxi_China,JHU,China,Guangxi,4960000
Guizhou_China,JHU,China,Guizhou,36230000
Hainan_China,JHU,China,Hainan,9450000
Hebei_China,JHU,China,Hebei,75920000
Heilongjiang_China,JHU,China,Heilong jiang,37510000
Henan_China,JHU,China,Henan,9640000
HongKong_China,JHU,China,Hong Kong,7496981
Hubei_China,JHU,China,Hubei_China,59270000
InnerMongolia_China,JHU,China,Inner Mongolia,69180000
Jiangsu_China,JHU,China,Jiangsu,2540000
Jiangxi_China,JHU,China,Jiangxi,8070000
Jilin_China,JHU,China,Jilin,46660000
Liaoning_China,JHU,China,Liaoning,26910000
Macau_China,JHU,China,Macau,43520000
Ningxia_China,JHU,China,Ningxia,6950000
Qinghai_China,JHU,China,Qinghai,6080000
Shaanxi_China,JHU,China,Shaanxi,38760000
Shandong_China,JHU,China,Shandong,10070000
Shanghai_China,JHU,China,Shanghai,24280000
Shanxi_China,JHU,China,Shanxi,37290000
Sichuan_China,JHU,China,Sichuan,83750000
Tianjin_China,JHU,China,Tianjin,15620000
Tibet_China,JHU,China,Tibet,3510000
Xinjiang_China,JHU,China,Xinjiang,25230000
Yunnan_China,JHU,China,Yunnan,48580000
Zhejiang_China,JHU,China,Zhejiang,5850000
AmericanSamoa_UnitedStates,JHU,United States,American Samoa,55465
Guam_UnitedStates,JHU,United States,Guam,165768
NorthernMarianaIslands_UnitedStates,JHU,United States,Northern Mariana Islands,56882
PuertoRico_UnitedStates,JHU,United States,Puerto Rico,7021841
VirginIslands_UnitedStates,JHU,United States,Virgin Islands,106977
Alabama_UnitedStates,JHU,United States,Alabama,4887871
Alaska_UnitedStates,JHU,United States,Alaska,781305
Arizona_UnitedStates,JHU,United States,Arizona,7171646
Arkansas_UnitedStates,JHU,United States,Arkansas,3013825
California_UnitedStates,JHU,United States,California,39557045
Colorado_UnitedStates,JHU,United States,Colorado,5695564
Connecticut_UnitedStates,JHU,United States,Connecticut,3572665
Delaware_UnitedStates,JHU,United States,Delaware,967171
DistrictofColumbia_UnitedStates,JHU,United States,District of Columbia,702455
Florida_UnitedStates,JHU,United States,Florida,21299325
