date,country,pct_ili,pct_cli,pct_tested,region
2020-05-01,Turkey,0.84,0.88,0.47,
2020-05-01,Ukraine,1.15,1.34,0.25,
2020-05-01,United Arab Emirates,1.45,1.47,2.83,
2020-05-01,United Kingdom,1.01,1.1,0.78,
2020-05-01,Uruguay,0.66,0.76,0.47,
2020-05-01,Uzbekistan,0.76,1.46,0.35,
2020-05-01,Venezuela,0.52,0.64,0.66,
2020-05-01,Vietnam,0.43,0.42,0.98,
2020-05-01,Yemen,2.48,3.24,1.26,
2020-05-02,Afghanistan,9.4,9.74,6.77,
2020-05-02,Albania,2.58,2.65,1.06,
2020-05-02,Algeria,1.87,1.68,0.44,
2020-05-02,American Samoa,5.48,5.48,2.65,
2020-05-02,Angola,0.95,1,0.92,
2020-05-02,Argentina,0.43,0.46,0.21,
2020-05-02,Armenia,1.09,1.09,0.82,
2020-05-02,Australia,1.26,1.3,1.48,
2020-05-02,Austria,0.4,0.43,0.9,
2020-05-02,Azerbaijan,0.54,0.73,0.55,
2020-05-02,Bahamas,4.97,4.97,5,
2020-05-02,Bahrain,3.53,3.41,0.34,
2020-05-02,Bangladesh,3.13,3.38,1.53,
2020-05-02,Belarus,3.09,3.67,1.62,
2020-05-02,Belgium,0.83,0.87,1.19,
2020-05-02,Benin,1.12,1.12,2.43,
2020-05-02,Bolivia,1.19,1.58,0.2,
2020-05-02,Bosnia and Herzegovina,2.12,2.38,0.45,
2020-05-02,Brazil,2.21,2.35,0.57,
2020-05-02,Bulgaria,0.48,0.54,0.49,
2020-05-02,Burkina Faso,2.6,2.4,0.96,
2020-05-02,Cambodia,4.52,3.22,1.89,
2020-05-02,Cameroon,2.18,2.81,4.62,
2020-05-02,Canada,0.78,0.79,0.89,
2020-05-02,Chile,0.62,0.78,0.75,
2020-05-02,Colombia,0.91,1.12,0.17,
2020-05-02,Costa Rica,0.78,0.83,0.23,
2020-05-02,Croatia,1.11,1.13,0.39,
2020-05-02,Czech Republic,0.46,0.51,1.14,
2020-05-02,Côte d'Ivoire,1.58,1.58,2.27,
2020-05-02,Democratic Republic of the Congo,0.99,1.43,4.61,
2020-05-02,Denmark,0.59,0.7,2.02,
2020-05-02,Dominica,7.17,9.4,3.89,
2020-05-02,Dominican Republic,1.14,1.16,0.47,
2020-05-02,Ecuador,3.94,4.7,1.25,
2020-05-02,Egypt,0.9,1.26,0.49,
2020-05-02,El Salvador,0.85,1.14,0.39,
2020-05-02,Ethiopia,0.87,0.64,2.06,
2020-05-02,Finland,0.76,0.79,0.92,
2020-05-02,France,0.76,0.89,0.86,
2020-05-02,Germany,0.35,0.34,0.76,
2020-05-02,Ghana,1.28,1.2,1.59,
2020-05-02,Greece,0.2,0.25,0.35,
2020-05-02,Guatemala,0.41,0.62,0.38,
2020-05-02,Guinea,3.1,3.29,2.26,
2020-05-02,Haiti,0.89,1.53,0.68,
2020-05-02,Honduras,0.67,0.92,0.21,
2020-05-02,Hong Kong,0.6,0.98,0.52,
2020-05-02,Hungary,0.25,0.31,0.4,
2020-05-02,India,0.82,0.89,0.57,
2020-05-02,Indonesia,1.56,1.63,1.65,
2020-05-02,Iraq,1.97,2.08,2.09,
2020-05-02,Ireland,0.34,0.39,1,
2020-05-02,Israel,0.45,0.48,0.87,
2020-05-02,Italy,0.28,0.33,0.61,
2020-05-02,Japan,0.74,0.84,0.06,
2020-05-02,Jordan,1.04,1.02,0.6,
2020-05-02,Kazakhstan,0.72,0.77,1.07,
2020-05-02,Kenya,2.12,2.17,1.7,
2020-05-02,Kuwait,0.58,0.68,2.97,
2020-05-02,Kyrgyzstan,0.68,0.81,1.09,
2020-05-02,Laos,0.68,0.91,1.66,
2020-05-02,Lebanon,1.23,1.13,0.25,
2020-05-02,Libya,1.17,1.49,0.61,
2020-05-02,Madagascar,0,0,0.71,
2020-05-02,Malaysia,0.86,0.93,0.48,
2020-05-02,Mali,1.67,0.96,2.18,
2020-05-02,Mauritania,0.44,1.51,0,
2020-05-02,Mexico,1.13,1.35,0.22,
2020-05-02,Moldova,0.52,0.73,0.29,
2020-05-02,Morocco,1.11,1.34,0.21,
2020-05-02,Mozambique,1.25,1.19,0.89,
2020-05-02,Myanmar,3.98,3.88,2.55,
2020-05-02,Nepal,0.54,0.56,0.36,
2020-05-02,Netherlands,0.61,0.59,0.66,
2020-05-02,New Zealand,0.93,1.06,1.78,
2020-05-02,Nicaragua,1.31,1.89,0.33,
2020-05-02,Nigeria,3.29,3.51,1.39,
2020-05-02,Norway,1.17,1.22,0.81,
2020-05-02,Oman,0.02,0.02,0.78,
2020-05-02,Pakistan,2.12,2.24,2.08,
2020-05-02,Palestine,2.12,2.24,0.48,
2020-05-02,Panama,2.3,2.49,1.38,
2020-05-02,Paraguay,0.52,0.77,0.3,
2020-05-02,Peru,3.01,3.54,0.93,
2020-05-02,Philippines,0.6,0.65,0.27,
2020-05-02,Poland,0.6,0.73,0.38,
2020-05-02,Portugal,0.15,0.14,0.71,
2020-05-02,"Puerto Rico, U.S.",0.4,0.45,0.94,
2020-05-02,Qatar,1,1.53,2,
2020-05-02,Romania,0.29,0.3,0.3,
2020-05-02,Russia,1.85,2.21,0.99,
2020-05-02,Saudi Arabia,1.04,0.95,2.02,
2020-05-02,Senegal,2.43,1.04,1.22,
2020-05-02,Serbia,0.48,0.44,0.33,
2020-05-02,Singapore,0,0,0.2,
2020-05-02,Slovakia,0.38,0.63,0.48,
2020-05-02,Slovenia,0.42,0.78,0.18,
2020-05-02,South Africa,1.88,2.03,1.2,
2020-05-02,South Korea,0.82,1.05,0.3,
2020-05-02,Spain,0.78,0.85,0.94,
2020-05-02,Sri Lanka,0.78,0.96,0.18,
2020-05-02,Sudan,1.29,1.69,0.53,
2020-05-02,Sweden,2.49,2.68,0.53,
2020-05-02,Switzerland,0.29,0.27,0.78,
2020-05-02,Taiwan,0.23,0.24,0.18,
2020-05-02,Tanzania,3.9,3.92,0.84,
2020-05-02,Thailand,0.55,0.69,0.93,
2020-05-02,Tunisia,0.68,0.81,0.72,
2020-05-02,Turkey,0.62,0.65,0.5,
2020-05-02,Ukraine,1,1.11,0.28,
2020-05-02,United Arab Emirates,1.34,1.45,3.1,
2020-05-02,United Kingdom,1.04,1.13,0.86,
2020-05-02,Uruguay,0.71,0.8,0.53,
2020-05-02,Uzbekistan,0.53,0.53,0.33,
2020-05-02,Venezuela,0.56,0.68,0.76,
2020-05-02,Vietnam,0.45,0.43,1.1,
2020-05-02,Yemen,2.82,3.47,1.39,
2020-05-03,Afghanistan,9.33,9.81,6.7,
2020-05-03,Aland Islands,28.08,28.08,16.44,
2020-05-03,Albania,2.38,2.41,2.71,
2020-05-03,Algeria,1.57,1.42,0.52,
2020-05-03,American Samoa,3.98,3.98,2.58,
2020-05-03,Andorra,11.85,11.85,-0,
2020-05-03,Angola,0.92,0.97,0.72,
2020-05-03,Argentina,0.45,0.53,0.25,
2020-05-03,Armenia,1,1,0.71,
2020-05-03,Australia,1.19,1.22,1.53,
2020-05-03,Austria,0.32,0.35,1.1,
2020-05-03,Azerbaijan,0.87,0.87,0.49,
2020-05-03,Bahamas,3.06,3.2,2.85,
2020-05-03,Bahrain,2.94,3.01,0.15,
2020-05-03,Bangladesh,2.99,3.19,1.52,
2020-05-03,Belarus,3.33,3.89,1.5,
2020-05-03,Belgium,0.7,0.75,1.13,
2020-05-03,Benin,1.33,1.79,1.08,
2020-05-03,Bolivia,1.19,1.7,0.21,
2020-05-03,Bosnia and Herzegovina,1.65,1.95,0.38,
2020-05-03,Botswana,2.2,1.1,0,
2020-05-03,Brazil,2.23,2.37,0.63,
2020-05-03,Bulgaria,0.38,0.41,0.56,
2020-05-03,Burkina Faso,2.5,2.34,0.27,
2020-05-03,Cambodia,3.87,4.35,2.18,
2020-05-03,Cameroon,2.35,2.55,4.42,
2020-05-03,Canada,0.68,0.69,0.89,
2020-05-03,Chile,0.62,0.74,0.64,
2020-05-03,Colombia,0.92,1.13,0.12,
2020-05-03,Costa Rica,0.82,1.21,0.24,
2020-05-03,Croatia,0.72,0.62,0.44,
2020-05-03,Czech Republic,0.47,0.51,1.22,
2020-05-03,Côte d'Ivoire,1.16,1.31,2.33,
2020-05-03,Democratic Republic of the Congo,1.07,1.55,4.97,
2020-05-03,Denmark,0.56,0.67,2.35,
2020-05-03,Dominica,8.23,10.79,4.46,
2020-05-03,Dominican Republic,1.29,1.32,0.5,
2020-05-03,Ecuador,3.7,4.21,1.29,
2020-05-03,Egypt,0.89,1.19,0.45,
2020-05-03,El Salvador,0.83,1.11,0.35,
2020-05-03,Ethiopia,0.57,0.57,2.15,
2020-05-03,Finland,0.73,0.79,0.85,
2020-05-03,France,0.8,0.93,0.84,
2020-05-03,Germany,0.32,0.32,0.81,
2020-05-03,Ghana,1.95,1.93,2.05,
2020-05-03,Greece,0.25,0.28,0.4,
2020-05-03,Guatemala,0.43,0.52,0.26,
2020-05-03,Guinea,3.41,3.59,2.22,
2020-05-03,Haiti,0.83,1.46,0.87,
2020-05-03,Honduras,0.57,0.93,0.32,
2020-05-03,Hong Kong,0.6,0.83,0.32,
2020-05-03,Hungary,0.24,0.3,0.38,
2020-05-03,India,0.76,0.82,0.57,
2020-05-03,Indonesia,1.53,1.6,1.59,
2020-05-03,Iraq,2.08,2.22,1.99,
2020-05-03,Ireland,0.55,0.58,1.1,
2020-05-03,Israel,0.66,0.62,0.68,
2020-05-03,Italy,0.27,0.32,0.61,
2020-05-03,Japan,0.54,0.65,0.06,
2020-05-03,Jordan,0.72,0.75,0.54,
2020-05-03,Kazakhstan,0.82,0.87,1.05,
2020-05-03,Kenya,1.81,1.91,1.29,
2020-05-03,Kuwait,0.79,0.88,2.78,
2020-05-03,Kyrgyzstan,0.77,0.9,0.98,
2020-05-03,Laos,0.72,0.72,1.16,
2020-05-03,Lebanon,1.17,1.07,0.24,
2020-05-03,Libya,1.09,1.47,0.54,
2020-05-03,Madagascar,0,0,0.67,
2020-05-03,Malaysia,0.88,0.97,0.52,
2020-05-03,Mali,2.66,1.93,2.07,
2020-05-03,Mauritania,1.38,2.32,0,
2020-05-03,Mexico,1.24,1.46,0.25,
2020-05-03,Moldova,0.4,0.6,0.49,
2020-05-03,Morocco,0.87,0.87,0.39,
2020-05-03,Mozambique,0.92,1,0.97,
2020-05-03,Myanmar,3.12,3.09,2.74,
2020-05-03,Nepal,0.54,0.61,0.3,
2020-05-03,Netherlands,0.57,0.53,0.68,
2020-05-03,New Zealand,1.04,1.17,1.75,
2020-05-03,Nicaragua,1.66,2.25,0.37,
2020-05-03,Nigeria,3.5,3.78,1.35,
2020-05-03,Norway,1.28,1.35,0.83,
2020-05-03,Oman,0.02,0.02,0.47,
2020-05-03,Pakistan,1.84,1.84,1.69,
2020-05-03,Palestine,1.51,1.59,0.66,
2020-05-03,Panama,2.1,2.27,0.98,
2020-05-03,Paraguay,0.24,0.47,0.32,
2020-05-03,Peru,2.92,3.44,1.07,
2020-05-03,Philippines,0.59,0.6,0.31,
2020-05-03,Poland,0.58,0.68,0.41,
2020-05-03,Portugal,0.2,0.2,0.8,
2020-05-03,"Puerto Rico, U.S.",0.4,0.47,0.91,
